type	query	expected	actual	verdict
baseline	Patient?family=Faulkenberry	1	1	ok
baseline	Patient?gender=male	1	1	ok
baseline	Observation?code=http://loinc.org|1975-2	1	1	ok
baseline	Observation?subject=Patient/p1	1	1	ok
baseline	Patient?birthdate=1980-05-15	1	1	ok
baseline	Observation?value-quantity=5	1	1	ok
missing	Patient?gender:missing=true	1	0	MISMATCH
missing	Patient?gender:missing=false	1	0	MISMATCH
missing	Patient?birthdate:missing=true	1	0	MISMATCH
string	Patient?family:exact=Faulkenberry	1	0	MISMATCH
string	Patient?family:exact=faulkenberry	0	0	ok
string	Patient?family:exact=Faulken	0	0	ok
string	Patient?family:contains=kenberry	1	0	MISMATCH
string	Patient?family=Munoz	1	0	MISMATCH
token	Observation?code:text=bilirubin	1	0	MISMATCH
token	Patient?gender:not=female	1	0	MISMATCH
token	Observation?code:in=http://example.org/ValueSet/bili	1	0	MISMATCH
token	Observation?code:not-in=http://example.org/ValueSet/bili	0	0	ok
token	Patient?identifier:of-type=http://terminology.hl7.org/CodeSystem/v2-0203|MR|12345	1	0	MISMATCH
reference	Observation?subject:Patient=p1	1	0	MISMATCH
reference	Observation?subject:identifier=http://example.org/mrn|12345	1	0	MISMATCH
uri	ValueSet?url=http://example.org/ValueSet/bili	1	1	ok
uri	ValueSet?url:below=http://example.org/ValueSet	1	0	MISMATCH
prefix-date	Patient?birthdate=eq1980-05-15	1	0	MISMATCH
prefix-date	Patient?birthdate=ne1980-05-15	0	0	ok
prefix-date	Patient?birthdate=gt1980-01-01	1	0	MISMATCH
prefix-date	Patient?birthdate=lt1990-01-01	1	0	MISMATCH
prefix-date	Patient?birthdate=ge1980-05-15	1	0	MISMATCH
prefix-date	Patient?birthdate=le1980-05-15	1	0	MISMATCH
prefix-date	Patient?birthdate=gt1990-01-01	0	0	ok
prefix-date	Patient?birthdate=sa1980-01-01	1	0	MISMATCH
prefix-date	Patient?birthdate=eb1990-01-01	1	0	MISMATCH
prefix-date	Patient?birthdate=ap1980-05-15	1	0	MISMATCH
prefix-qty	Observation?value-quantity=eq5	1	0	MISMATCH
prefix-qty	Observation?value-quantity=ne5	0	0	ok
prefix-qty	Observation?value-quantity=gt1	1	0	MISMATCH
prefix-qty	Observation?value-quantity=lt10	1	0	MISMATCH
prefix-qty	Observation?value-quantity=ge5	1	0	MISMATCH
prefix-qty	Observation?value-quantity=le5	1	0	MISMATCH
prefix-qty	Observation?value-quantity=gt10	0	0	ok
