step	label	ms	rows	note
0-analyze	ANALYZE	1074	0	
0-patients	big patient 77e10fd0-6a1c-5547-a130-fae1341acf36	0	48554	
0-patients	small patient 42f0ed8f-d744-5edb-a05d-8e011c1fbd64	0	963	
1-dao-r1	DAO status=final -date	5518	20	
1-dao-r1	DAO subject=big -date	366	20	
1-dao-r1	DAO subject=small -date	24	20	
1-sql-r1	SQL walk status=final (no cover index)	12913	20	
1-sql-r1	SQL string LIKE (as DAO)	1	0	
1-sql-r1	SQL string range	0	0	
1-sql-r1	SQL token (as DAO, with LIKE ORs)	100	20	
1-sql-r1	SQL token (search_name only)	88	20	
1-sql-r1	SQL type page ORDER BY last_updated	6414	20	
1-sql-r1	SQL _lastUpdated >=	6351	0	
1-dao-r2	DAO status=final -date	9737	20	
1-dao-r2	DAO subject=big -date	612	20	
1-dao-r2	DAO subject=small -date	55	20	
1-sql-r2	SQL walk status=final (no cover index)	12185	20	
1-sql-r2	SQL string LIKE (as DAO)	0	0	
1-sql-r2	SQL string range	0	0	
1-sql-r2	SQL token (as DAO, with LIKE ORs)	98	20	
1-sql-r2	SQL token (search_name only)	92	20	
1-sql-r2	SQL type page ORDER BY last_updated	6453	20	
1-sql-r2	SQL _lastUpdated >=	5563	0	
1-plan	walk status (no cover)	0	0	SEARCH d USING INDEX sqlite_autoindex_date_search_parameters_1 (resource_type=?) | SEARCH t EXISTS USING INDEX sqlite_autoindex_token_search_parameters_1 (resource_type=? AND id=?) | USE TEMP B-TREE FOR ORDER BY
1-plan	string LIKE (as DAO)	0	0	SEARCH string_search_parameters USING INDEX sqlite_autoindex_string_search_parameters_1 (resource_type=?)
1-plan	token (as DAO)	0	0	SEARCH token_search_parameters USING INDEX idx_token_value (token_value=?) | USE TEMP B-TREE FOR DISTINCT
1-plan	type page	0	0	SEARCH resources USING INDEX sqlite_autoindex_resources_1 (resource_type=?) | USE TEMP B-TREE FOR ORDER BY
2-size	db bytes before covering indexes	0	0	6210392064
2-create	CREATE INDEX date cover	2702	0	
2-create	CREATE INDEX token cover	14838	0	
2-create	CREATE INDEX reference cover	12651	0	
2-create	CREATE INDEX string cover	1515	0	
2-create	CREATE INDEX resources (type,last_updated)	1211	0	
2-analyze	ANALYZE after	2425	0	
2-size	db bytes after covering indexes	0	0	6947524608 (+703 MB)
3-dao-r1	DAO status=final -date (indexes present)	10036	20	
3-dao-r1	DAO subject=big -date (indexes present)	381	20	
3-dao-r1	DAO subject=small -date (indexes present)	52	20	
3-sql-r1	SQL walk status=final (cover)	0	20	
3-sql-r1	SQL walk subject=big (cover)	2310	20	
3-sql-r1	SQL walk subject=small (cover)	189	20	
3-sql-r1	SQL sorted-set subject=small (cover)	9	20	
3-sql-r1	SQL sorted-set subject=big (cover)	339	20	
3-sql-r1	SQL string LIKE (as DAO, cover present)	0	0	
3-sql-r1	SQL string range (cover)	0	0	
3-sql-r1	SQL token (as DAO, cover present)	103	20	
3-sql-r1	SQL token (search_name only, cover)	6	20	
3-sql-r1	SQL type page ORDER BY last_updated (index)	0	20	
3-sql-r1	SQL _lastUpdated >= (index)	0	0	
3-dao-r2	DAO status=final -date (indexes present)	10462	20	
3-dao-r2	DAO subject=big -date (indexes present)	621	20	
3-dao-r2	DAO subject=small -date (indexes present)	50	20	
3-sql-r2	SQL walk status=final (cover)	0	20	
3-sql-r2	SQL walk subject=big (cover)	2174	20	
3-sql-r2	SQL walk subject=small (cover)	149	20	
3-sql-r2	SQL sorted-set subject=small (cover)	6	20	
